kategori;jämförelse;enhet;jämförelsefråga;deltafråga;alt1_namn;alt1_tal;alt2_namn;alt2_tal
kändisar;äldst;årtal;Vem är äldst av {alt1_namn} och {alt2_namn}?;{alt2_namn} äldst, född {alt2_tal}. Hur många år yngre är {alt1_namn}?;Greta Thunberg;2003;Frida Gustavsson;1993
kändisar;äldst;årtal;Vem är äldst av {alt1_namn} och {alt2_namn}?;{alt1_namn} äldst, född {alt1_tal}. Hur många år yngre är {alt2_namn}?;Alexander Skarsgård;1976;Bill Skarsgård;1990
kändisar;äldst;årtal;Vem är äldst av {alt1_namn} och {alt2_namn}?;{alt2_namn} äldst, född {alt2_tal}. Hur många år yngre är {alt1_namn}?;Mark Levengood;1971;Kalle Moraeus;1970
bilar;flest;antal;Vilken bil kunde fås i flest färger 2023, {alt1_namn} eller {alt2_namn}?;{alt1_namn} kunde fås i flest färger, {alt1_tal} stycken. Hur många färre färger kunde {alt2_namn} fås i?;Volvo XC90;12;Polestar 2;6
bilar;tyngst;kg;Vilken bil är tyngst, {alt1_namn} eller {alt2_namn} (årsmodell 2023, standardutförande)?;{alt2_namn} är tyngst, {alt2_tal} kg. Hur många {enhet} lättare är {alt1_namn}?;Tesla Model X;2469;Audi e-tron;2565
bilar;tyngst;kg;Vilken bil får dra tyngst, {alt1_namn} eller {alt2_namn} (årsmodell 2023)?;{alt2_namn} får dra tyngst, {alt2_tal} kg. Hur många {enhet} färre får{alt1_namn} dra?;Volvo V90;2400;BMW X5;2700
bilar;störst;liter;Vilket är störst, bagageutrymmet i {alt1_namn} eller {alt2_namn} (årsmodell 2023, samtliga säten uppfällda)?;Bageutrymmet i {alt1_namn} är störst, {alt1_tal} {enhet}. Hur mycket mindre är bagageutrymmet i {alt2_namn}?;Kia Sorento;813;Volkswagen ID.4;543
bilar;högst;Wh/km;Vilken bil har högst förbrukning, {alt1_namn} eller {alt2_namn} (modellår 2024)?;{alt2_namn} har högst förbrukning, {alt2_tal} {enhet}. Hur många färre {enhet} förbrukar {alt1_namn}?;Tesla Model 3 RWD;132;Nissan Leaf 40 kWh;166
film & teve;högst;%;Vilken film har högst värde på Rotten Tomatoes tomatometer, {alt1_namn} eller {alt2_namn}?;{alt2_namn} har högst värde på Rotten Tomatoes tomatoemeter, {alt2_tal} {enhet}. Hur många färre har {alt1_namn}?;Tillsammans;90;Fucking Åmål;91
film & teve;högst;%;Vilken film har högst värde på Rotten Tomatoes popcornmeter, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har högst värde på Rotten Tomatoes popcornmeter, {alt1_tal} {enhet}. Hur många färre har {alt2_namn}?;Tillsammans;89;Fucking Åmål;86
film & teve;högst;%;Vilken film har högst värde på Rotten Tomatoes tomatometer, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har högst värde på Rotten Tomatoes tomatoemeter, {alt1_tal} {enhet}. Hur många färre har {alt2_namn}?;En man som heter Ove;91;Så som i himmelen;83
film & teve;högst;%;Vilken film har högst värde på Rotten Tomatoes popcornmeter, {alt1_namn} eller {alt2_namn}?;{alt2_namn} har högst värde på Rotten Tomatoes popcornmeter, {alt2_tal} {enhet}. Hur många färre har {alt1_namn}?;En man som heter Ove;88;Så som i himmelen;91
film & teve;högst;%;Vilken film har högstvärde på Rotten Tomatoes popcornmeter, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har högst värde på Rotten Tomatoes popcornmeter, {alt1_tal} {enhet}. Hur många färre har {alt2_namn}?;Den enfaldige mördaren;92;Utvandrarna;87
film & teve;äldst;årtal;Vilken film är äldst av {alt1_namn} och {alt2_namn}?;{alt1_namn} är äldst, utgavs {alt1_tal}. Hur många år senare utgavs {alt2_namn}?;Sällskapsresan;1980;Göta Kanal;1981
film & teve;äldst;årtal;Vilken film är äldst av {alt1_namn} och {alt2_namn}?;{alt1_namn} är äldst, utgavs {alt1_tal}. Hur många år senare utgavs {alt2_namn}?;Ronja Rövardotter;1984;Mitt liv som hund;1985
film & teve;äldst;årtal;Vilken film är äldst av {alt1_namn} och {alt2_namn}?;{alt1_namn} är äldst, utgavs {alt1_tal}. Hur många år senare utgavs {alt2_namn}?;Pippi Långstrump på de sju haven;1970;Emil i Lönneberga;1971
film & teve;äldst;årtal;Vilken film är äldst av {alt1_namn} och {alt2_namn}?;{alt1_namn} är äldst, utgavs {alt1_tal}. Hur många år senare utgavs {alt2_namn}?;Mannen på taket;1976;Jönssonligan får guldfeber;1984
film & teve;äldst;årtal;Vilken film är äldst av {alt1_namn} och {alt2_namn}?;{alt2_namn} är äldst, utgavs {alt2_tal}. Hur många år senare utgavs {alt1_namn}?;Män som hatar kvinnor;2009;Låt den rätte komma in;2008
film & teve;flest;tusen;Vilken film har haft flest biobesökare, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har haft flest biobesökare, {alt1_tal} {enhet}. Hur många {enhet} färre har {alt2_namn} haft?;Sällskapsresan;2345;Jönssonligan och Dynamit-Harry;1620
film & teve;flest;tusen;Vilken film har haft flest biobesökare, {alt1_namn} eller {alt2_namn}?;{alt2_namn} har haft flest biobesökare, {alt2_tal} {enhet}. Hur många {enhet} färre har {alt1_namn} haft?;Tillsammans;965;Så som i himmelen;1143
film & teve;flest;tusen;Vilken film har haft flest biobesökare, {alt1_namn} eller {alt2_namn}?;{alt2_namn} har haft flest biobesökare, {alt2_tal} {enhet}. Hur många {enhet} färre har {alt1_namn} haft?;Mitt liv som hund;855;Ronja Rövardotter;1450
film & teve;flest;tusen;Vilken film har haft flest biobesökare, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har haft flest biobesökare, {alt1_tal} {enhet}. Hur många {enhet} färre har {alt2_namn} haft?;Svensson Svensson – Filmen;950;Göta Kanal 2;710
film & teve;flest;tusen;Vilken film har haft flest biobesökare, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har haft flest biobesökare, {alt1_tal} {enhet}. Hur många {enhet} färre har {alt2_namn} haft?;En man som heter Ove;1789;Hundraåringen som klev ut genom fönstret och försvann;1630
film & teve;flest;tusen;Vilket program hade flest tittare 2023, {alt1_namn} eller {alt2_namn}?;{alt1_namn} hade flest tittare 2023, {alt1_tal} {enhet}. Hur många {enhet} färre hade {alt2_namn}?;Melodifestivalen;3000;Allsång på Skansen;2500
musik;flest;veckor;Vilken låt låg flest veckor på Svensktoppen 1986, {alt1_namn} eller {alt2_namn}?;{alt1_namn} låg flest veckor på Svensktoppen 1986, {alt1_tal} {enhet}. Hur många färre låg {alt2_namn}?;Imperiet — Märk Hur Vår Skugga;15;Magnus Uggla — Fula Gubbar;5
sport;flest;antal;Vilken svensk idrottare har vunnit flest OS-medaljer, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har vunnit vunnit flest OS medaljer, {alt1_tal} stycken. Hur många färre har {alt2_namn} vunnit (2024)?;Charlotte Kalla;9;Gunde Svan;7
näringsliv;äldst;årtal;Vilket företag är äldst, {alt1_namn} eller {alt2_namn}?;{alt1_namn} är äldst, grundades {alt1_tal}. Hur många år senare grundades {alt2_namn}?;IKEA;1943;H&M;1947
geografi;flest;tusen;Vilken stad hade flest invånare 2023, {alt1_namn} eller {alt2_namn} (2023)?;{alt1_namn} hade flest invånare 2023, {alt1_tal} {enhet}. Hur många färre invånare hade {alt2_namn}?;Göteborg;605;Malmö;362
uppfinningar;äldst;årtal;Vilken uppfinning är äldst, {alt1_namn} eller {alt2_namn}?;{alt1_namn} äldst, uppfunnen {alt1_tal}. Hur många år senare uppfanns {alt2_namn}?;Tändstickan;1855;Glödlampan;1879
musik;mest;miljoner;Vem fick mest betalt av {alt1_namn} när han sålde 50% av sin katalog 2021, eller {alt2_namn} när hon sålde en majoritetsandel av sin katalog 2020?;{alt1_namn} fick mest betalt, {alt1_tal} {enhet} US$. Hur många färre {enhet} US$ fick Stevie Nicks?;Niel Young;150;Stevie Nicks;100
mix;flest;antal;Vilka är flest av {alt1_namn} och {alt2_namn}?;{alt1_namn} är flest, {alt1_tal} stycken. Hur många färre är {alt2_namn}?;de olympiska ringarna;5;ringarna i Audis logotyp;4
byggnader;högst;meter;Vilken byggnad är högst, {alt1_namn} eller {alt2_namn} i Malmö?;{alt2_namn} är högst, {alt2_tal} {enhet}. Hur mycket lägre är {alt1_namn}?;lutande tornet i Pisa;57;Turning Torso;190
flora & fauna;flest;antal;Vilken ros har flest knoppar per buske i genomsnitt, {alt1_namn} eller {alt2_namn}?;{alt1_namn} har i genomsnitt flest knoppar per buske, {alt1_tal} stycken. Hur många färre har {alt2_namn}?;strandros (rosa rugosa);50;fransk ros (rosa gallica);30
litteratur;flest;antal;Vilken bok har flest sidor, {alt1_namn} eller {alt2_namn}?;{alt2_namn} har flest sidor, {alt2_tal} stycken. Hur många färre har {alt1_namn}?;Pippi Långstrump av Astrid Lindgren;104;Utvandrarna av Vilhelm Moberg;368
